date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:36:18	55004/55004	---M--	200	added ('OK')	text/html	etag:%227120d42ae8da1:0%22	http://www.youkeb.com/2240981-2240981.html?pid=5312617&_t=1664454087	C:/My%20Web%20Sites/tyhm/www.youkeb.com/2240981-22409815768.html	(from http://www.youkeb.com/)
23:36:18	117118/117118	---M--	200	added ('OK')	image/jpeg	etag:%22f586a3f4b67d95183716a5a8bb0bed0f-1%22	https://cdn.yun.sooce.cn/4/66083/jpg/1664453669932b239c704eacc67b2.jpg?version=1664453676	C:/My%20Web%20Sites/tyhm/cdn.yun.sooce.cn/4/66083/jpg/1664453669932b239c704eacc67b213b7.jpg	(from http://www.youkeb.com/)
23:36:20	55004/55004	---M--	200	added ('OK')	text/html	etag:%227120d42ae8da1:0%22	http://www.youkeb.com/2240981-2240981.html?pid=5036197&_t=1654614467	C:/My%20Web%20Sites/tyhm/www.youkeb.com/2240981-22409817164.html	(from http://www.youkeb.com/)
23:36:20	112662/112662	---M--	200	added ('OK')	image/jpeg	etag:%22e7831d48f11211d67cd07ddb7fd40df2-1%22	https://cdn.yun.sooce.cn/4/66083/jpg/16644536699343895b6d57e146160.jpg?version=1664453677	C:/My%20Web%20Sites/tyhm/cdn.yun.sooce.cn/4/66083/jpg/16644536699343895b6d57e14616022fc.jpg	(from http://www.youkeb.com/)
23:36:21	81116/81116	---M--	200	added ('OK')	image/jpeg	etag:%220819e225952218634f04f51146fb48ca-1%22	https://cdn.yun.sooce.cn/4/66083/jpg/1698390167409e59a421522a707876060a6da36c90a82.jpg?version=0	C:/My%20Web%20Sites/tyhm/cdn.yun.sooce.cn/4/66083/jpg/1698390167409e59a421522a707876060a6da36c90a82e4d9.jpg	(from http://www.youkeb.com/)
23:36:21	262232/262232	---M--	200	added ('OK')	image/jpeg	etag:%22569fc8e4a27298c88e9456083e36b3bd-1%22	https://cdn.yun.sooce.cn/4/66083/jpg/16644536699313ce5125dcd19a6b8.jpg?version=0	C:/My%20Web%20Sites/tyhm/cdn.yun.sooce.cn/4/66083/jpg/16644536699313ce5125dcd19a6b8e4d9.jpg	(from http://www.youkeb.com/)
23:36:21	1182122/1182122	---M--	200	added ('OK')	image/jpeg	etag:%22345615391e20afe96263a9431ac1c1d9-2%22	https://cdn.yun.sooce.cn/4/66083/jpg/16983901743091fc1f005d62aed8ab1b06912d1450964.jpg?version=0	C:/My%20Web%20Sites/tyhm/cdn.yun.sooce.cn/4/66083/jpg/16983901743091fc1f005d62aed8ab1b06912d1450964e4d9.jpg	(from http://www.youkeb.com/)
23:36:21	176172/176172	---M--	200	added ('OK')	image/jpeg	etag:%22e0a1ee13807a43e0e41f5f09088848bf-1%22	https://cdn.yun.sooce.cn/4/66083/jpg/16983901789843ea5a0bca99fab5508d6eca223ccb08a.jpg?version=0	C:/My%20Web%20Sites/tyhm/cdn.yun.sooce.cn/4/66083/jpg/16983901789843ea5a0bca99fab5508d6eca223ccb08ae4d9.jpg	(from http://www.youkeb.com/)
23:36:22	1864635/1864635	---M--	200	added ('OK')	image/jpeg	etag:%2253128f13d09879d5a11811e3bc6f76db-2%22	https://cdn.yun.sooce.cn/4/66083/jpg/16983907126409d87a2cfc856d52eb82253ea39ecbb93.jpg?version=0	C:/My%20Web%20Sites/tyhm/cdn.yun.sooce.cn/4/66083/jpg/16983907126409d87a2cfc856d52eb82253ea39ecbb93e4d9.jpg	(from http://www.youkeb.com/)
23:36:22	1794299/1794299	---M--	200	added ('OK')	image/png	etag:%22c5b23672bbe23c1505099888bac98635-2%22	https://cdn.yun.sooce.cn/4/66083/png/1698390388932f94ebdd4c7ef334e1d2d91bd95a36180.png?version=0	C:/My%20Web%20Sites/tyhm/cdn.yun.sooce.cn/4/66083/png/1698390388932f94ebdd4c7ef334e1d2d91bd95a36180e4d9.png	(from http://www.youkeb.com/)
23:36:22	1217249/1217249	---M--	200	added ('OK')	image/jpeg	etag:%229c9e62c57199cc243a030dfbdf08dee9-2%22	https://cdn.yun.sooce.cn/4/66083/jpg/1698390553072752c539354eaacd39aaca4d9a770c7e2.jpg?version=0	C:/My%20Web%20Sites/tyhm/cdn.yun.sooce.cn/4/66083/jpg/1698390553072752c539354eaacd39aaca4d9a770c7e2e4d9.jpg	(from http://www.youkeb.com/)
